,a0
3.9960199999999997,3.15764874782085e-05
4.00097,2.9721660193878375e-05
4.00294,3.07985394384682e-05
4.00497,2.7939996243720448e-05
4.00697,2.7296577603680696e-05
4.0090900000000005,2.885106078773413e-05
4.01003,2.7616029370279437e-05
4.01507,2.773298110045102e-05
4.0191099999999995,2.338100250750861e-05
4.01992,2.2307075906414236e-05
4.02504,1.539787958050325e-05
4.02998,9.642155380234651e-06
4.03514,6.167279318154844e-06
4.26996,2.6784476005287656e-05
4.29005,4.2236639941590333e-05
4.291119999999999,5.889372414975609e-05
4.29319,5.615169834183435e-05
4.2942,5.3365223319279086e-05
4.29515,5.550541280824018e-05
4.29615,5.456863337731513e-05
4.297219999999999,5.916484589786598e-05
4.298080000000001,5.9517649104117413e-05
4.2990900000000005,6.738975845302788e-05
4.30105,5.611262723875262e-05
4.3031,6.278061101619519e-05
4.30523,5.535973298501433e-05
4.30725,6.347030202127451e-05
4.3093,6.095657539021068e-05
4.30996,5.980484327055378e-05
4.31117,5.760528388321656e-05
4.31311,3.8462703483045e-05
4.31513,4.151854001471706e-05
4.3172,3.0156574558904998e-05
4.31917,3.6557787295221945e-05
4.32116,3.686703735466424e-05
4.32298,3.145549904902454e-05
4.32521,3.1079884955768745e-05
4.32711,3.7589071932009755e-05
4.32908,3.389040396099316e-05
4.33012,2.7053054130788414e-05
4.33119,3.4926476785429115e-05
4.33324,4.4008624720600564e-05
4.33515,4.139940571682025e-05
4.34004,3.970422332199164e-05
4.34488,3.8125034705066686e-05
4.34998,3.695495472197445e-05
4.37005,3.256826347687153e-05
4.39015,3.24084206403904e-05
4.41003,3.5364206728310586e-05
4.42024,3.813852543932729e-05
4.43018,3.6919485604829876e-05
4.44004,3.261688800009899e-05
4.44994,2.7441757751190347e-05
4.4549900000000004,2.1698079904143223e-05
4.46012,2.0795049235949017e-05
4.4699599999999995,2.235866111539716e-05
4.4779800000000005,2.7569097370606014e-05
4.48613,3.8750940377080126e-05
4.48819,3.992419276816926e-05
4.490069999999999,3.8641047182599446e-05
4.49222,4.591904205166319e-05
4.4949900000000005,4.73144971744448e-05
4.499969999999999,4.719142749321824e-05
4.51021,4.9110804825681424e-05
4.51218,5.487530263348408e-05
4.51508,5.574623448771941e-05
4.52007,4.977307748362901e-05
4.52524,4.838565650268287e-05
4.5294099999999995,5.176467064454867e-05
4.53506,2.5467920629592558e-05
4.54024,3.615049543947304e-05
4.5498,4.747913301518288e-05
4.56018,1.5302825690948353e-05
4.570130000000001,7.484284157503525e-06
4.580030000000001,2.4599455960532396e-06
4.59008,3.3254668348735524e-05
4.60027,5.0958167661865825e-05
4.60999,1.7815955861345463e-05
4.62023,2.1089439605052163e-05
4.62994,3.370858590091055e-05
4.63517,5.490623037834519e-05
4.639959999999999,0.00011529530527616417
4.64996,8.863045586738698e-05
4.67012,9.505392293494322e-05
4.68015,9.138319957137293e-05
4.68993,6.660750830047119e-05
4.71002,6.423009262835681e-05
4.73,6.811206805180376e-05
4.75,8.95888000850555e-05
4.75518,0.00014686858484369006
4.75888,0.00015995925890935743
4.77004,0.00016584972677307386
4.77502,0.00016798758126669588
4.7801800000000005,0.00014285165457763249
4.79012,0.0002467025527232035
4.799919999999999,0.00048089944525143904
4.81003,0.00041901461051325946
4.8121599999999995,0.00027387023021359147
4.81527,0.00018663815553453635
4.82006,9.620607189507619e-05
4.82989,7.211285827823538e-05
4.85003,7.362741313205736e-05
4.86629,7.839017234495324e-05
4.88989,7.97527554303402e-05
4.89991,8.84967388765155e-05
4.9101300000000005,8.43352637208345e-05
4.91996,9.11468086263079e-05
4.92615,9.066637174508193e-05
4.9301900000000005,8.71357077264714e-05
4.93692,9.122772234486239e-05
4.94675,8.994662650939975e-05
4.95027,8.991996335800616e-05
4.95676,8.72207491533579e-05
4.961869999999999,9.13272034122977e-05
4.96475,9.159920413423723e-05
4.96787,8.894561048318799e-05
4.97004,0.00010208629859268199
4.9728,9.203186160240185e-05
4.97463,9.301261917062724e-05
4.98471,9.252507367825784e-05
4.990069999999999,0.00010034194425674873
4.994669999999999,9.242990817178289e-05
5.00464,8.84289761559213e-05
5.00999,0.0001118337476372506
5.01484,0.00010585481064677145
5.01774,0.00012660511989441507
5.01786,0.00012581997827341542
5.019819999999999,0.00015837254322041835
5.0248,0.00027370951457498355
5.027830000000001,0.0003761150401726111
5.0301,0.00038071516066090846
5.032780000000001,0.0003482637815868137
5.0359,0.00035290164020578284
5.03871,0.0003422894698816735
5.041980000000001,0.00033538382251786965
5.04479,0.00030105982632744604
5.04997,0.00022205902017434997
5.05484,0.0001508886700797617
5.0648800000000005,0.0002687898250154542
5.06991,0.00027024652148028574
5.07448,0.00025596765280708677
5.08419,0.0002028337698413619
5.08999,0.00020254390035023362
5.093719999999999,0.000319902568337007
5.09676,0.0003939603881741979
5.09889,0.0003922237786523685
5.09999,0.0003975612716753263
5.10043,0.00039386620689710165
5.100709999999999,0.000407299438573972
5.10288,0.0007905875183111092
5.1048599999999995,0.0009062088776316346
5.1069,0.0008445022339147092
5.10878,0.000806324481153004
5.110040000000001,0.0008192341516685873
5.11075,0.0007832081909649705
5.11384,0.0007488467718155786
5.1188,0.0006693605871718449
5.1237699999999995,0.000509619745293011
5.12852,0.0003068294648301683
5.12994,0.00031837997549221704
5.1338099999999995,0.00018169060151245785
5.13888,0.00016109206467046624
5.14165,0.00016195193273566761
5.1447400000000005,0.0001548926081859507
5.14799,0.00015150737229468184
5.15001,0.00016334333243109528
5.150980000000001,0.0001565596506342805
5.15704,0.00015201513681107197
5.15937,0.00015553070317634346
5.17005,0.00015720829253413566
5.18984,0.0001597613389786096
5.210030000000001,0.0001845517691534271
5.23003,0.00021330958865188054
5.2395,0.0002607810337555076
5.24306,0.00026551443393027957
5.25013,0.00033653670161971883
5.25994,0.00041523487564698683
5.26504,0.0004687505491468943
5.26998,0.0004898657582764926
5.27496,0.0005911699460475336
5.27502,0.0006163163998402099
5.2798099999999994,0.0010139851054833387
5.28495,0.0013509333176602524
5.29016,0.0017076814653813942
5.29294,0.0018645074421278617
5.29767,0.001906560668545388
5.29972,0.0019530387209709752
5.30238,0.002015403702902516
5.30823,0.0016063320802945594
5.312880000000001,0.0012791170322327973
5.31752,0.0010199576005700624
5.32281,0.0007677254968112406
5.32768,0.0005829380928863986
5.33288,0.0004713402811748919
5.33291,0.0004999271771630422
5.33747,0.0004634899678709074
5.34274,0.0004237094774843919
5.34293,0.00042936617848583417
5.34694,0.0003855578524475051
5.34826,0.00038303336330905284
5.34858,0.00037893965367953266
5.35205,0.00039292963233860355
5.3536,0.0003636884649142605
5.3579,0.0004375822120683958
5.35797,0.0004328528296106079
5.3598300000000005,0.0004146906305019279
5.36189,0.00041623112049105385
5.36386,0.0003948631347085716
5.36605,0.0003998809541459967
5.368040000000001,0.0004051835115582793
5.36827,0.0003923306482971324
5.36965,0.00040317440647128996
5.3714900000000005,0.0004005639985381214
5.373419999999999,0.00037018437260820397
5.3748,0.0003538689997739375
5.38009,0.00031668303619289824
5.3829199999999995,0.0003046789758700292
5.3833400000000005,0.00030978854925021445
5.383859999999999,0.00030568537543466793
5.38596,0.00030083098694239064
5.38986,0.0002974630647031306
5.39308,0.00030221436517028656
5.40341,0.00032408467215183217
5.41408,0.00032479364780743143
5.42436,0.00030566437953773146
5.43541,0.00030510898450741153
5.43926,0.0003127700602788281
5.4408199999999995,0.0003118817402001736
